City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,tadpatri,14.9167,78.0167,26.23,71,100,10.04,IN,1689981176
187,gornozavodsk,58.3758,58.3211,11.04,97,74,1.71,RU,1689981176
188,callao,-12.0667,-77.15,22.62,73,100,5.14,PE,1689981176
189,lebu,-37.6167,-73.65,10.58,91,100,3.69,CL,1689981176
190,selfoss,63.9331,-20.9971,10.58,89,64,2.11,IS,1689981177
191,ulanhot,46.0833,122.0833,18.77,96,100,4.22,CN,1689981177
192,cukai,4.25,103.4167,25.3,91,100,2.1,MY,1689981177
193,olonkinbyen,70.9221,-8.7187,5.7,80,100,2.94,SJ,1689981177
194,tambo,-14.8,-73.9167,6.35,51,25,2.63,PE,1689981177
195,south hedland,-20.4089,118.5983,17.96,27,0,7.2,AU,1689981177
196,mata-utu,-13.2816,-176.1745,28.02,79,13,3.49,WF,1689981177
197,brioude,45.1667,3.4167,13.23,88,86,0.57,FR,1689981178
198,invercargill,-46.4,168.35,3.58,70,14,2.72,NZ,1689980983
199,olenino,56.2092,33.4889,9.65,90,27,2.84,RU,1689981178
200,colonia,50.9333,6.95,15.48,74,0,1.03,DE,1689981178
201,gadzhiyevo,69.2551,33.3362,8.32,81,99,6.96,RU,1689981178
202,puerto armuelles,8.2833,-82.8667,28.94,85,100,2.24,PA,1689980891
203,daru,-9.0763,143.2092,25.68,76,96,6.23,PG,1689981178
204,papao,-17.75,-149.55,27.82,62,8,5.02,PF,1689981179
205,chabahar,25.2919,60.643,28.06,83,98,2.78,IR,1689981042
206,thunder bay,48.4001,-89.3168,22.95,49,75,4.12,CA,1689980975
207,prince rupert,54.3161,-130.3201,17.05,88,100,1.03,CA,1689980917
208,cockburn town,21.4612,-71.1419,28.19,79,59,6.18,TC,1689981179
209,abu zabad,12.35,29.25,25.25,61,100,1.88,SD,1689980955
210,bumpe,7.8919,-11.9025,23.34,99,100,1.08,SL,1689981179
211,fale old settlement,-9.3852,-171.2468,28.63,70,94,3.61,TK,1689981179
212,hithadhoo,-0.6,73.0833,27.47,79,90,2.35,MV,1689981180
213,linkou,45.3,130.2833,24.45,83,100,1.22,CN,1689981180
214,tromso,69.6496,18.957,12.01,82,0,2.06,NO,1689981180
215,santa rita,-7.1139,-34.9781,24.37,83,0,2.57,BR,1689981180
216,rajin,42.2489,130.3003,21.13,97,100,1.54,KP,1689981180
217,kodiak,57.79,-152.4072,15.73,72,0,2.06,US,1689981180
218,kapa'a,22.0752,-159.319,28.99,84,100,5.14,US,1689981181
219,georgetown,5.4112,100.3354,27.75,94,20,0.51,MY,1689980904
220,oyem,1.5995,11.5793,20.22,98,94,1.73,GA,1689981181
221,mossel bay,-34.1831,22.146,6.96,65,67,1.06,ZA,1689981181
222,utrik,11.2278,169.8474,28.35,77,92,6.89,MH,1689981181
223,kuusamo,65.9667,29.1833,10.02,94,100,3.44,FI,1689981182
224,carauari,-4.8828,-66.8958,26.42,56,3,0.07,BR,1689981182
225,montepuez,-13.1256,38.9997,19.89,57,100,3.16,MZ,1689981182
226,sheksna,59.21,38.5107,11.62,86,20,3.86,RU,1689981182
227,punta arenas,-53.15,-70.9167,-2.16,92,100,2.68,CL,1689980902
228,alice springs,-23.7,133.8833,2.75,93,0,2.06,AU,1689981182
229,nar'yan-mar,67.6713,53.087,8.12,94,84,6.1,RU,1689981183
230,altinekin,38.3078,32.8686,25.31,46,0,3.47,TR,1689981183
231,wad medani,14.4012,33.5199,31.58,47,46,7.85,SD,1689981183
232,kone,-21.0595,164.8658,20.03,63,78,2.08,NC,1689981183
233,rongelap,11.1635,166.8941,28.46,77,99,6.85,MH,1689981183
234,zaozersk,69.4005,32.4476,8.17,85,100,6.77,RU,1689981183
235,onega,63.9061,38.1404,13.28,99,89,1.16,RU,1689981184
236,nuuk,64.1835,-51.7216,6.34,100,100,4.02,GL,1689981184
237,vikulovo,56.8167,70.6107,14.23,87,100,3.31,RU,1689981184
238,palikir - national government center,6.9248,158.1611,25.47,94,100,3.09,FM,1689981184
239,new plymouth,-39.0667,174.0833,8.51,72,54,6.53,NZ,1689981185
240,alesund,62.4723,6.1549,14.86,86,100,5.14,NO,1689981015
